Date,Open,High,Low,Close,Adj Close,Volume
2000-02-24,18.875,19.125,18.875,19.0,12.767008781433105,61800
2000-02-25,19.0,19.25,19.0,19.25,12.9350004196167,41400
2000-02-28,19.25,20.125,19.25,20.125,13.522951126098633,35700
2000-02-29,21.75,21.875,21.625,21.875,14.69886302947998,79900
2000-03-01,22.5,22.75,21.75,21.75,14.6148681640625,140600
2000-03-02,22.0,22.25,22.0,22.0625,14.824853897094727,26600
2000-03-03,22.125,22.125,22.0625,22.125,14.866851806640625,17300
2000-03-06,22.0625,22.25,22.0625,22.0625,14.824853897094727,9900
2000-03-07,22.125,22.125,21.75,22.0,14.782855987548828,26200
2000-03-08,22.0,22.1875,22.0,22.0,14.782855987548828,31700
2000-03-09,21.875,22.0,21.75,22.0,14.782855987548828,7800
2000-03-10,22.0,22.125,21.9375,22.125,14.866851806640625,5200
2000-03-13,22.375,23.125,22.25,22.875,15.370808601379395,27900
2000-03-14,22.875,23.0,22.875,22.875,15.370808601379395,1300
2000-03-15,23.125,24.125,22.625,24.125,16.210744857788086,29000
2000-03-16,24.125,25.0,24.125,24.375,16.378734588623047,19500
2000-03-17,23.375,24.75,23.375,24.75,16.63071632385254,73300
2000-03-20,24.0,24.25,23.875,24.0,16.126754760742188,134700
2000-03-21,23.75,24.0,23.75,24.0,16.126754760742188,172200
2000-03-22,23.75,23.75,22.625,22.625,15.20283031463623,35900
2000-03-23,22.625,22.625,22.5,22.5,15.1188325881958,1300
2000-03-24,22.5,22.5,22.375,22.4375,15.076837539672852,5600
2000-03-27,22.1875,22.1875,22.0,22.0625,14.824853897094727,19600
2000-03-28,22.0625,22.0625,19.75,20.0,13.438960075378418,42600
2000-03-29,19.75,19.875,19.75,19.75,13.270975112915039,77000
2000-03-30,19.8125,20.5,19.8125,20.4375,13.732931137084961,18700
2000-03-31,20.4375,20.4375,20.25,20.25,13.606950759887695,23500
2000-04-03,20.25,20.6875,20.25,20.625,13.858922004699707,4000
2000-04-04,20.625,20.875,20.625,20.75,13.942923545837402,77700
2000-04-05,20.75,21.4375,20.625,21.4375,14.404882431030273,32700
2000-04-06,21.375,22.4375,21.125,22.375,15.034834861755371,12500
2000-04-07,22.25,24.4375,22.25,24.25,16.294740676879883,44500
2000-04-10,24.25,24.25,24.0,24.0,16.126754760742188,16100
2000-04-11,24.125,24.125,24.0,24.0625,16.168752670288086,6300
2000-04-12,24.0,24.0,23.8125,23.875,16.042762756347656,3800
2000-04-13,23.75,23.75,23.375,23.375,15.706789016723633,4900
2000-04-14,23.25,23.25,23.0,23.0,15.454804420471191,10200
2000-04-17,22.875,22.875,22.375,22.4375,15.076837539672852,15500
2000-04-18,22.3125,22.3125,21.875,21.9375,14.740861892700195,2900
2000-04-19,21.8125,21.9375,21.0,21.0,14.110910415649414,20400
2000-04-20,21.0,21.15625,20.9375,21.125,14.194900512695312,78800
2000-04-24,21.0625,21.625,21.0,21.625,14.530879020690918,15100
2000-04-25,21.875,24.5,21.6875,24.0,16.126754760742188,74600
2000-04-26,24.25,24.25,23.8125,24.125,16.210744857788086,67700
2000-04-27,24.0,24.375,24.0,24.3125,16.336734771728516,12600
2000-04-28,24.5,26.0,24.375,26.0,17.470645904541016,43100
2000-05-01,26.25,26.5,24.0,24.0,16.126754760742188,97500
2000-05-02,24.125,24.125,23.75,23.8125,16.000764846801758,6100
2000-05-03,23.5625,24.375,23.5625,24.25,16.294740676879883,23000
2000-05-04,24.0,24.0,23.625,23.625,15.874768257141113,6300
2000-05-05,23.5,23.875,23.5,23.6875,15.916768074035645,6200
2000-05-08,23.5625,24.125,23.5,24.0,16.126754760742188,20400
2000-05-09,24.125,24.375,24.0625,24.375,16.378734588623047,19900
2000-05-10,24.5,25.0625,24.375,25.0625,16.8406982421875,23400
2000-05-11,25.125,25.75,25.125,25.25,16.96668815612793,30200
2000-05-12,25.0,25.75,24.875,25.75,17.302650451660156,32300
